Serving HTTP on 127.0.0.1 port 8099 (http://127.0.0.1:8099/) ...
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:33] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:42] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:43] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:54] "GET /js/logbook.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:07] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:12] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:21] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:40:49] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:42] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:54] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:41:59] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:17] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:18] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:42:49] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:05] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:06] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:07] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:08] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:08] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:09] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:15] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/grid.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:43:25] "GET /data/definitions.js HTTP/1.1" 200 -
